root@comp3134-intro-cyber-securityf:~# ping twitter.com
PING twitter.com (104.244.42.1) 56(84) bytes of data.
64 bytes from 104.244.42.1: icmp_seq=1 ttl=57 time=27.9 ms
64 bytes from 104.244.42.1: icmp_seq=2 ttl=57 time=27.4 ms
64 bytes from 104.244.42.1: icmp_seq=3 ttl=57 time=27.3 ms
64 bytes from 104.244.42.1: icmp_seq=4 ttl=57 time=27.2 ms
64 bytes from 104.244.42.1: icmp_seq=5 ttl=57 time=27.2 ms
64 bytes from 104.244.42.1: icmp_seq=6 ttl=57 time=27.4 ms
64 bytes from 104.244.42.1: icmp_seq=7 ttl=57 time=27.2 ms
64 bytes from 104.244.42.1: icmp_seq=8 ttl=57 time=27.1 ms
64 bytes from 104.244.42.1: icmp_seq=9 ttl=57 time=27.2 ms
64 bytes from 104.244.42.1: icmp_seq=10 ttl=57 time=27.2 ms
64 bytes from 104.244.42.1: icmp_seq=11 ttl=57 time=27.1 ms
64 bytes from 104.244.42.1: icmp_seq=12 ttl=57 time=27.4 ms
